Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
2020-01-01,1403.1070556640625,1418.5020569278058,1399.024657489549,1416.5346476948964,268255
2020-01-02,1470.2940673828125,1484.606896903725,1404.7301334275496,1404.7301334275496,2000143
2020-01-03,1461.88330078125,1480.4753407039896,1457.4075171487248,1470.2940226761698,629443
2020-01-06,1438.6678466796875,1455.8826756143162,1434.3887560750175,1455.8826756143162,378702
2020-01-07,1454.6038818359375,1474.5238991348047,1448.554194869328,1450.9642230039024,365266
2020-01-08,1449.63623046875,1455.489224494044,1434.241230283841,1440.1434575689598,190163
2020-01-09,1455.4893798828125,1474.2781147301107,1448.9969531922716,1465.7199322854615,254798
2020-01-10,1461.6866455078125,1477.524265078649,1451.9479462424008,1459.8175828074002,364434
2020-01-13,1459.2762451171875,1479.4914185830612,1455.341427514573,1468.9658295285087,374704
2020-01-14,1468.9661865234375,1477.5243688565315,1459.7193388938613,1460.89973642907,308514
2020-01-15,1487.31201171875,1504.0842219382791,1463.7523363271152,1464.0474957176934,932167
2020-01-16,1565.614990234375,1580.8131771659685,1493.3127073957323,1494.9357238027249,2305288
2020-01-17,1592.22412109375,1597.5361495481266,1554.2531504224382,1569.5498038277142,893254
2020-01-20,1602.9959716796875,1631.9660257928633,1590.158577874722,1593.601544173863,1047368
2020-01-21,1599.7001953125,1615.734626549055,1594.5849799914877,1603.2907407210541,317357
2020-01-22,1607.8160400390625,1636.8845608926574,1599.9956359927328,1616.8661949965256,736367
2020-01-23,1659.4111328125,1672.1992912180674,1604.6679537755213,1612.0949707281236,764590
2020-01-24,1641.5079345703125,1669.8879103608103,1622.227347057197,1662.4608920708793,1023849
2020-01-27,1668.4119873046875,1685.0857297681985,1634.9168026122277,1640.8190293364596,791549
2020-01-28,1650.4102783203125,1677.0195339394477,1646.5246934519319,1668.2645395897111,681671
2020-01-29,1660.4932861328125,1667.3299847464673,1643.8195419851957,1659.5095815794164,230705
