Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2020-01-01,1934.7003173828125,1958.5604675776442,1930.5645968505883,1952.4760127733225,314519
2020-01-02,1932.2349853515625,1950.1699064830193,1922.3728661043726,1946.829523781515,546945
2020-01-03,1934.541748046875,1947.784056880593,1920.7425469034838,1924.7192395471764,544720
2020-01-06,1883.4808349609375,1931.8374557217799,1877.0387094655996,1931.8374557217799,624665
2020-01-07,1867.494873046875,1908.7330637136317,1858.7063425197084,1891.3152257218087,620687
2020-01-08,1843.237060546875,1865.1088726316539,1837.6696901980222,1846.7762785766092,595883
2020-01-09,1872.6640625,1880.9753099182444,1850.0367239280438,1861.887188379962,732115
2020-01-10,1879.7427978515625,1899.029757080506,1869.8408720513858,1874.612903200815,578287
2020-01-13,1882.3677978515625,1895.2124397065631,1870.9149986695272,1895.2124397065631,434063
2020-01-14,1917.8792724609375,1923.764894145571,1877.83409358571,1882.5663190509274,787340
2020-01-15,1969.4964599609375,1972.8766480600311,1919.9468402852235,1924.679064789073,1051367
2020-01-16,1936.25146484375,1968.4228664495834,1930.2864264431225,1968.4228664495834,590255
2020-01-17,1951.7607421875,1968.3832397058716,1925.9918516230175,1944.602695455761,457663
2020-01-20,1921.2196044921875,1956.2541072734173,1916.8452430923187,1951.7605227778665,320280
2020-01-21,1907.7784423828125,1918.8733757466098,1888.9289585575682,1916.7658063678903,568473
2020-01-22,1908.056884765625,1916.7658025856385,1892.1103088594332,1915.7318236912645,346888
2020-01-23,1932.4736328125,1936.5299366484796,1892.9055442303734,1906.4262981177333,315469
2020-01-24,1963.4122314453125,1968.3036795283874,1930.3660734379946,1940.6258620058763,519690
2020-01-27,1953.1522216796875,1987.1529373375545,1928.735372311142,1953.351056274178,897656
2020-01-28,1963.5716552734375,1995.4646145983666,1940.6260604544316,1953.9479811563217,904634
2020-01-29,1977.4903564453125,1996.300038098642,1964.4864916747595,1975.6212329231184,787135
2020-01-30,1974.268798828125,2005.8436984663194,1959.7140654325974,1977.9670451860532,797868
2020-01-31,1989.8177490234375,2005.7641309705475,1982.0233927117754,1994.7090032395947,574957
2020-02-03,1889.84326171875,1963.690509837445,1875.40794742677,1901.6541146299437,1507692
2020-02-04,1958.163330078125,1976.098253345718,1909.448843536971,1918.356596526749,1187298
2020-02-05,1887.536865234375,1971.564289855565,1865.5060303024857,1966.0765325437162,2176980
2020-02-06,1917.7998046875,1930.2865805682777,1873.0222073499358,1904.8357480267923,1632634
2020-02-07,1943.36962890625,1985.1647018280999,1925.7927662801321,1972.4392870727916,2709754
2020-02-10,1897.439208984375,1954.5047520245864,1889.0483481414801,1948.1818491567647,949025
2020-02-11,1905.98876953125,1943.2902589468235,1900.8588754178315,1920.7423364577671,680119
2020-02-12,1927.144775390625,1932.6723385115667,1908.8121861842635,1916.7655702933646,467714
2020-02-13,1915.9305419921875,1941.6598188108644,1909.6076400779605,1923.9237323401026,514501
2020-02-14,1874.2152099609375,1938.8762700433642,1869.920459651173,1927.9005597052037,798770
2020-02-17,1867.5494384765625,1909.7938346462302,1856.2623942925068,1909.7938346462302,818134
2020-02-18,1842.439453125,1867.4262987050745,1819.8246336183493,1867.4262987050745,839607
2020-02-19,1841.581298828125,1863.1737505684434,1821.5018402891715,1859.9021548694645,729471
2020-02-20,1832.2979736328125,1861.5378587158937,1828.3720190558179,1854.1767687649083,886179
2020-02-24,1786.4544677734375,1815.7352839098896,1778.9298389657702,1815.7352839098896,808263
2020-02-25,1786.413818359375,1810.8281806132115,1769.9741701334078,1791.362146684603,861921
2020-02-26,1752.389404296875,1795.288163529946,1747.032126332558,1783.0196794967117,972076
2020-02-27,1725.97119140625,1765.5574191575536,1718.4056264160793,1756.7650057905985,1093297
2020-02-28,1678.123779296875,1725.766382023349,1663.5651414457127,1701.2294192457657,1879071
2020-03-02,1615.71826171875,1725.7665931775086,1603.8996631379596,1717.5876045842504,1207967
2020-03-03,1680.6593017578125,1688.0203904002751,1616.1679063895372,1616.1679063895372,1689926
2020-03-04,1673.7073974609375,1695.7907676471596,1636.2067527876754,1693.0507264536307,976550
2020-03-05,1688.0615234375,1711.9443319632023,1678.5740156494521,1686.2621857261768,899516
2020-03-06,1667.123291015625,1679.5143789069289,1612.078657644615,1612.078657644615,606826
2020-03-09,1599.8509521484375,1645.203399664827,1566.521576788586,1631.708069764519,844134
2020-03-11,1665.282958984375,1676.5290679389236,1594.00305571513,1609.6249034583059,1848085
2020-03-12,1559.896484375,1618.580720752594,1467.1059094398527,1599.8099840358757,2248848
2020-03-13,1540.8804931640625,1589.1774600251224,1255.4747303852614,1440.3198698426354,1184611
2020-03-16,1458.7225341796875,1509.0233112203664,1452.0158038440625,1486.9400432512878,883109
2020-03-17,1505.87451171875,1556.9522557813152,1436.516648193523,1458.3136728627055,1236906
2020-03-18,1375.010498046875,1521.2916689327412,1362.6193120655628,1505.7515927447184,1118487
2020-03-19,1400.6109619140625,1463.2211640109806,1277.5171747795446,1347.8974165959173,1276786
2020-03-20,1485.0589599609375,1509.5959264184592,1369.9806272116293,1410.8755713074988,1244977
2020-03-23,1321.7244873046875,1368.4674246302611,1243.2062009301515,1336.569370790606,750837
2020-03-24,1330.762451171875,1434.6764469799375,1206.4008829305938,1349.5331910749014,1488860
