Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-01-01,1841.1495361328125,1854.9945151360407,1829.5976758435274,1841.4892113411177,1354908
2020-01-02,1832.6976318359375,1851.6391879395187,1825.5202832378156,1851.6391879395187,2380752
2020-01-03,1869.2220458984375,1888.206117477725,1838.0917850750322,1838.0917850750322,4655761
2020-01-06,1869.0526123046875,1890.7122013302808,1858.3926554471066,1872.9174039777688,3023209
2020-01-07,1873.6392822265625,1881.1137972699646,1854.9100686216645,1869.0949330238905,2429317
2020-01-08,1915.5992431640625,1919.6338718770785,1870.411443052674,1872.917118357946,5197454
2020-01-09,1880.8587646484375,1912.7959068867915,1877.1638117534574,1910.077883113388,3734173
2020-01-10,1880.1795654296875,1897.549662992085,1875.4653786421325,1892.4532896805574,1915807
2020-01-13,1860.4732666015625,1884.7658502170664,1855.6740582476968,1883.8316397156548,2843893
2020-01-14,1874.53125,1893.982535565308,1864.4235243203632,1864.4235243203632,2948452
2020-01-15,1891.518798828125,1895.001403405756,1863.7436068236416,1879.7122840595866,2620681
2020-01-16,1901.6263427734375,1910.2901338313272,1881.4106920570875,1891.5609249710044,3117214
2020-01-17,1884.8934326171875,1914.1550629449189,1879.712037680234,1903.282760249428,3281059
2020-01-20,1843.485107421875,1904.5140331558082,1831.4660399267493,1864.3375954054472,5817599
2020-01-21,1844.0799560546875,1857.2455849789383,1833.037815666606,1843.1455381500018,1902980
2020-01-22,1874.53125,1877.1644595662883,1846.3313547967512,1852.5319847575,1773686
2020-01-23,1865.208740234375,1888.0242706786876,1859.0366396989582,1881.2562847635886,2069866
2020-01-24,1858.7816162109375,1865.2091570146856,1847.3739523611557,1865.2091570146856,1319430
2020-01-27,1846.7353515625,1867.3373593233334,1843.1172230645673,1864.144893001628,1549101
2020-01-28,1859.079345703125,1862.5272505115765,1832.0498005509444,1850.7789341996995,1743024
2020-01-29,1834.26318359375,1861.8033964448073,1830.3470091811648,1860.1433558422534,2306761
2020-01-30,1820.003662109375,1843.1170327548234,1809.0640621727482,1838.860411432064,2098567
2020-01-31,1769.94580078125,1825.537318301137,1763.603476410503,1821.3230968054377,3287223
2020-02-03,1789.90966796875,1868.4017412095518,1781.9923089627846,1832.0502285225923,4728073
2020-02-04,1794.378662109375,1819.0244572235588,1776.3732376181772,1812.46930216148,3509339
2020-02-05,1827.4097900390625,1836.0506465245821,1791.4413467822649,1800.5504730917582,2439322
2020-02-06,1811.9158935546875,1850.948982327817,1800.976294753377,1826.0903579513088,2640065
2020-02-07,1818.8970947265625,1831.1986901045316,1803.9563107073466,1820.9827978305873,2083442
2020-02-10,1840.5206298828125,1844.8198594024605,1803.9562907585666,1822.6002108152,2383032
2020-02-11,1833.24169921875,1851.4601642896578,1828.3041844594725,1841.4144957907451,1335820
2020-02-12,1848.0120849609375,1860.1434553217314,1830.3471070671499,1831.283646863712,1620407
