Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
2021-01-01,3733.721435546875,3752.006493219647,3703.456324675191,3723.972515095896,344329
2021-01-04,3746.526123046875,3797.6470354033313,3733.6731303275087,3737.553279072978,578164
2021-01-05,3726.979736328125,3764.2290672342715,3690.0697763207777,3742.6457411819683,621125
2021-01-06,3763.598876953125,3772.7656810106364,3701.2254384267885,3731.7330606110067,486212
2021-01-07,3689.099853515625,3787.025057049386,3677.410858420651,3773.444536865295,731225
2021-01-08,3743.518798828125,3752.7827010403976,3695.93866574882,3704.571901713903,594069
2021-01-11,3707.8701171875,3772.4261405370903,3691.476583155293,3768.4974424922448,581207
2021-01-12,3654.615234375,3717.0372243492666,3628.9092479885535,3708.4037509770133,758091
2021-01-13,3607.956298828125,3678.5750549771788,3565.6142694042046,3674.985964670565,1142472
2021-01-14,3613.09716796875,3627.938783082818,3573.6167050473537,3626.38662898019,826368
2021-01-15,3535.591552734375,3650.0559397058346,3524.1450666721325,3647.33978824311,1048279
2021-01-18,3458.473388671875,3549.3658193816827,3444.601810501327,3530.935114115694,952462
2021-01-19,3491.600341796875,3522.2050627310064,3448.6761958244574,3468.853016889584,834021
2021-01-20,3497.662841796875,3556.2532267036463,3489.272115329723,3521.2347914851343,730498
2021-01-21,3496.595947265625,3540.6355384104595,3482.4333103817944,3540.6355384104595,706058
2021-01-22,3438.49072265625,3505.471836873259,3424.231223566269,3496.5960914630464,720287
2021-01-25,3462.111328125,3481.8514431186977,3377.3784836786676,3455.272518476001,926197
2021-01-27,3378.687744140625,3492.133534801946,3365.9316142723906,3487.186250897458,944951
2021-01-28,3326.98486328125,3391.928802094938,3307.8266298677927,3356.3284866107224,717703
2021-01-29,3268.8798828125,3354.3885654223827,3259.4220203160085,3346.628267989364,1015705
2021-02-01,3359.820556640625,3414.530553737369,3212.1807222146804,3315.586770646116,998291
2021-02-02,3442.274169921875,3460.8017387086625,3342.8453549787573,3433.9317551086456,1624774
2021-02-03,3569.97900390625,3605.5307685587604,3454.5445900852205,3482.4331564495446,1693164
2021-02-04,3568.669677734375,3613.145977054935,3541.605735211106,3602.6695281723696,908879
2021-02-05,3707.91845703125,3744.149439317642,3555.2347043358404,3588.1674182166103,2152555
2021-02-08,3668.534912109375,3771.50425584576,3540.635425369605,3685.170953692912,2744564
2021-02-09,3611.205810546875,3726.155213152423,3594.0362003075975,3669.699098225173,1319497
2021-02-10,3637.978759765625,3647.339523120042,3565.274289119655,3627.9387809757864,953446
2021-02-11,3641.3740234375,3651.898784342195,3600.7778742788164,3608.1502512947063,422563
2021-02-12,3607.956298828125,3641.374270123782,3584.4328965202826,3641.374270123782,561226
2021-02-15,3599.8564453125,3637.396835990698,3591.0775616607943,3609.508267676882,426787
2021-02-16,3576.041748046875,3608.0044229381624,3556.155987614226,3599.856206076433,392393
2021-02-17,3506.9267578125,3564.886476719712,3482.4333201153104,3561.9763653101445,691346
2021-02-18,3480.15380859375,3538.6956473808054,3465.9428585777464,3488.2537138106845,884937
2021-02-19,3417.634521484375,3496.983600335582,3385.4293384663474,3480.49297032013,745416
2021-02-22,3391.88037109375,3456.2424319650827,3370.879161122274,3404.8304620256636,846786
2021-02-23,3344.930419921875,3413.5605445385563,3337.7522401338488,3380.579283238667,511326
2021-02-24,3375.777587890625,3404.6361910229466,3310.1544373280713,3392.1225705946645,409153
2021-02-25,3336.9765625,3408.225748441586,3329.167715568955,3373.061899464495,876984
2021-02-26,3262.33203125,3381.452403713033,3226.731478413485,3317.042031735449,1701176
2021-03-01,3357.832275390625,3380.5796000834785,3280.0353402803435,3294.925269020427,660836
2021-03-02,3411.523681640625,3416.42241679061,3351.9634932040617,3366.0290323883937,724413
