Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
2021-01-01,3002.03857421875,3013.033473126122,2971.6409125336622,2971.6409125336622,421643
2021-01-04,3037.567138671875,3042.353195584544,2988.025459949106,3009.584085201264,647829
2021-01-05,3011.868896484375,3022.5189404451057,2996.6485928806683,3018.422802080737,561562
2021-01-06,2986.042236328125,3041.491066520231,2962.9313463102494,3011.86942910725,591620
2021-01-07,2964.698974609375,3024.545844413234,2956.3342701484457,3018.2075243986174,531361
2021-01-08,3043.344970703125,3056.668370247432,2964.7854624078145,2991.4749997890062,675643
2021-01-11,3119.40380859375,3134.236100670742,3036.31678260143,3044.940232708222,788461
2021-01-12,3125.35400390625,3141.3505464675072,3068.3099638571234,3114.74711783238,863270
2021-01-13,3105.2177734375,3132.8991298968645,3084.60781382909,3125.353611761275,515154
2021-01-14,3083.7890625,3155.0186374101886,3057.013206553118,3104.4421843698797,743848
2021-01-15,3087.45361328125,3124.275699903764,3053.5634152247385,3094.0936271749115,684649
2021-01-18,3073.18212890625,3120.0075065722845,3022.5193579281395,3063.049574710628,602004
2021-01-19,3139.798095703125,3159.632030391719,3070.896815498299,3074.906635471963,586410
2021-01-20,3142.341796875,3184.4674313385835,3129.751687091619,3138.9355764742486,549040
2021-01-21,3193.522216796875,3282.947349403381,3152.0433389122863,3166.530776729502,1533886
2021-01-22,3526.559814453125,3561.484786328746,3225.2134016972036,3233.7505328312004,8537143
2021-01-25,3595.073486328125,3630.4725814329104,3501.1208267500274,3578.731879559757,2368224
2021-01-27,3575.58447265625,3653.4540620348757,3542.599774582537,3564.416935862043,2062088
2021-01-28,3566.486328125,3613.2255961487194,3515.43575611311,3518.367644937178,1262871
2021-01-29,3454.381591796875,3626.462576097552,3440.7564988925665,3594.2539066125855,1406268
2021-02-01,3548.291259765625,3570.9707656048377,3427.864650128306,3504.5701983622457,745011
2021-02-02,3623.099609375,3683.2048039100246,3550.4899911326193,3583.733222829282,1167922
2021-02-03,3653.1953125,3672.856610006165,3587.441506474328,3626.160712628853,681937
2021-02-04,3642.1142578125,3761.0315540069178,3621.8491494761456,3653.1954757332082,1163598
2021-02-05,3648.79736328125,3684.6276304100184,3588.2176256693133,3673.5897825886263,729191
2021-02-08,3654.144287109375,3672.2964824151,3617.53757044296,3648.9702166868105,616236
2021-02-09,3582.957275390625,3654.618231486144,3574.420143820214,3646.3396349975696,721336
2021-02-10,3580.068359375,3634.7843202380886,3535.7009599923117,3587.3553433429297,989105
2021-02-11,3606.240478515625,3623.918551051062,3558.423700809909,3583.0434821825033,546983
2021-02-12,3566.701904296875,3618.2270185593325,3550.2744003102484,3603.7397908420035,360063
2021-02-15,3554.844482421875,3617.2352248815932,3545.6605927537917,3580.628933740694,287922
2021-02-16,3563.942626953125,3602.5325658058787,3556.3107894694244,3561.4848594832015,318280
2021-02-17,3592.27099609375,3626.1609886308784,3545.100552737584,3550.2746231137517,554383
2021-02-18,3548.93798828125,3621.8490914453705,3537.4255980272033,3621.8490914453705,440460
2021-02-19,3450.32861328125,3541.3923281635853,3429.7184417624326,3540.7885182456534,762200
2021-02-22,3424.845947265625,3483.873413866656,3386.2991721446265,3458.003066733983,762310
2021-02-23,3373.708984375,3448.258662173539,3354.6942363815556,3407.9871956674547,802871
2021-02-24,3390.611328125,3406.2628059185618,3324.64193454202,3386.4288705929603,399843
2021-02-25,3401.778564453125,3432.133066046141,3371.8120759995813,3394.18988642151,632973
2021-02-26,3275.7900390625,3400.312788311689,3253.6709731503156,3372.200255985501,732210
2021-03-01,3289.027099609375,3327.617039652963,3234.6562034300987,3275.790019202271,724589
2021-03-02,3401.132080078125,3416.7403993627645,3260.9578483003443,3295.8828232722244,735847
2021-03-03,3364.093994140625,3436.4446517802908,3331.7560582706724,3436.4446517802908,615104
2021-03-04,3345.079345703125,3386.946236700549,3312.2670770198665,3341.5868064181154,611769
2021-03-05,3322.486328125,3374.571886781764,3295.667311903969,3321.839569314526,719936
2021-03-08,3275.8330078125,3318.303498272458,3251.040589523692,3318.303498272458,818275
2021-03-09,3275.8330078125,3302.522542959328,3256.214659427443,3278.8080559004684,526071
2021-03-10,3335.162841796875,3345.036651109413,3278.6360782464526,3294.1582900845474,545219
2021-03-12,3230.689208984375,3344.173894677794,3220.6861333502748,3344.173894677794,1119478
2021-03-15,3160.19287109375,3255.3527366281764,3122.5947512371467,3255.3527366281764,1024257
2021-03-16,3151.396728515625,3182.053136202806,3134.6241599179402,3167.5225383457887,858553
2021-03-17,3078.226806640625,3171.704920743896,3066.326403493624,3147.5592606621044,773240
2021-03-18,3160.063720703125,3184.597397481408,3074.260380490283,3102.717769706602,1285600
2021-03-19,3147.6025390625,3167.393315521345,3078.7442037616197,3150.9656004877056,1132705
2021-03-22,3160.27880859375,3177.7412946771183,3134.020445701004,3147.7316468567888,502724
2021-03-23,3172.0068359375,3199.2568117976152,3140.0137520125745,3160.968777757824,581531
2021-03-24,3107.503173828125,3188.951611912108,3096.6375432896857,3157.0448488940583,507559
2021-03-25,3019.587158203125,3117.3769912248545,3015.620287223601,3117.3769912248545,808505
2021-03-26,3104.4853515625,3121.042334480891,3032.953871490511,3032.953871490511,691000
2021-03-30,3161.96044921875,3168.902368750692,3088.35942793072,3108.1070447158804,749230
2021-03-31,3165.32373046875,3176.5342157848618,3114.8333871883406,3147.559338754453,694645
2021-04-01,3227.800537109375,3246.12536860209,3182.2255190423484,3194.1259223066604,861229
2021-04-05,3103.1484375,3225.1702532305126,3083.7888346374307,3190.7196130867846,723573
