Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
2020-01-02,121.93697357177734,121.9787439406868,121.19350689268639,121.85343283395846,5777000
2020-01-03,120.52516174316406,121.43569671707047,119.45590709102204,119.8735850878438,5752400
2020-01-06,120.37488555908203,120.45841356727843,119.33068985765533,120.29134480435607,7731300
2020-01-07,121.10994720458984,121.50256566715638,118.10267231156801,120.29965061133765,7382900
2020-01-08,121.09324645996094,121.94530064938176,120.04068943716806,121.01805471081524,6605800
2020-01-09,121.45246124267578,121.98708880573325,121.11832379571233,121.76153901844332,6112700
2020-01-10,121.17678833007812,122.11238334958949,121.04312825685476,121.75318624264358,5042600
2020-01-13,121.71142578125,121.78660479860888,120.89278007255666,121.52764635224354,4593200
2020-01-14,122.39642333984375,122.47160235670354,120.9011282452655,121.16844841169201,7037500
2020-01-15,122.80572509765625,123.13151354485731,122.16250992403207,122.29615724469811,4960300
2020-01-16,123.7998275756836,124.33445521211121,122.12911461853125,123.14825054211644,6476000
2020-01-17,124.61012268066406,124.81061282153901,123.57427607260237,123.97525635435225,9083600
2020-01-21,124.69367980957031,125.44549563020865,124.05045167629451,124.11728173203366,9543900
2020-01-22,123.84156036376953,124.61843553473497,121.96200885740541,122.54675566563603,10305300
2020-01-23,124.07550048828125,124.27599063794129,122.59691590754402,123.66617121267358,8671900
2020-01-24,123.90005493164062,124.42632074318581,123.57425373167223,124.11724298509372,9051900
2020-01-27,124.25924682617188,124.85235539428389,122.79737333409928,123.23176216934222,7587100
2020-01-28,124.8857650756836,125.77960242231666,123.75802898809569,124.01700014449784,7336600
2020-01-29,125.75450897216797,126.2974981165441,124.57666649027695,124.84397382957393,6288600
2020-01-30,125.60415649414062,125.72945482328876,124.50984193116753,125.32848742349091,6470600
2020-01-31,124.35945892333984,125.30341539822705,124.16733058875555,125.09457637256332,8651700
2020-02-03,125.44544219970703,125.71276230880501,124.66856703237423,124.81892503384856,5765200
2020-02-04,126.6399917602539,127.60064619107023,126.30584166732274,126.54810207801317,6541400
2020-02-05,128.63648986816406,128.66154953133324,126.39772890171123,126.74022796038672,5979900
2020-02-06,128.25221252441406,129.0625089075033,127.59228685756368,128.8536698963261,6201200
2020-02-07,126.88228607177734,128.19380176897133,126.59826794826068,128.09355033097393,5700300
2020-02-10,126.85724639892578,126.89901677579951,126.0469495243872,126.70687559148624,4835600
2020-02-11,126.9658432006836,127.29163173654027,126.58992256609362,127.21643996170485,3715300
2020-02-12,126.21398162841797,127.09945727623865,126.07197258551518,126.86555852951341,5166800
2020-02-13,125.37860870361328,126.17219454243987,125.2031910400798,125.43708975580712,5480200
2020-02-14,125.41207885742188,125.83810609533533,124.59342028750802,125.77127604392223,5716300
2020-02-18,124.58499908447266,125.92157384481479,124.5181690718034,125.69602414537123,7230700
2020-02-19,124.41796875,125.10295428444039,124.11723997361689,124.64351851891871,6115200
2020-02-20,123.94180297851562,124.78552095045866,123.13150639469254,124.14229306766072,7464700
2020-02-21,125.24495697021484,125.5039281158834,123.24845603419024,123.70790452292496,7776800
2020-02-24,122.6640625,125.26176995255773,122.1092086282484,123.16006240301817,10588900
2020-02-25,121.60480499267578,123.3702446295706,120.91545152278572,122.73133009311077,10529000
2020-02-26,120.78936004638672,122.92470262916221,120.7137016345377,122.19331232567235,10093800
2020-02-27,116.95581817626953,121.70568495783313,116.81290360154776,119.84776983084033,12566700
2020-02-28,113.0550537109375,115.41737104442447,109.97816347696457,113.79485890466923,19820300
2020-03-02,117.71245574951172,117.80493140715582,112.65994191574798,113.30727151925679,11508200
2020-03-03,113.98821258544922,118.52790878855818,111.89491998394838,117.69562794437017,13662500
2020-03-04,120.62118530273438,120.75569765254696,115.29125851249694,115.74522165835977,10560500
2020-03-05,119.38540649414062,119.94866265105861,117.56112564411491,118.36818709193872,11339200
2020-03-06,119.40221405029297,120.22607985775397,115.51826241588557,116.41778662011427,12239100
2020-03-09,114.70280456542969,117.4266096079209,113.4081454039193,114.61032891103608,13848600
2020-03-10,119.07433319091797,119.33494285442706,112.8448694179012,117.67039419590164,12698100
2020-03-11,110.80203247070312,116.64477730909293,110.54982498123042,116.08992339781413,17763400
2020-03-12,105.4300765991211,112.44977318356081,104.66505185627707,107.02736944813432,21539200
2020-03-13,112.89532470703125,113.424959150162,104.79114677600627,108.71714161810846,20084200
