Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-01-01,3501.880859375,3521.085017257233,3466.8720694445565,3482.492749322785,825907
2024-01-02,3476.2451171875,3501.8815491067494,3461.589285987398,3501.8815491067494,1344068
2024-01-03,3392.214599609375,3465.815661625944,3387.895985677585,3461.3590835588857,1803075
2024-01-04,3369.2890625,3417.253697114489,3354.770972886529,3401.403300159602,3598144
2024-01-05,3434.6201171875,3443.6710132655903,3376.685947407125,3376.8236872126063,1963127
2024-01-08,3379.85595703125,3436.320079253609,3374.4345273007075,3434.620091894895,1067805
2024-01-09,3390.5146484375,3447.897858716544,3383.944863545508,3408.937908160742,1370944
2024-01-10,3411.7861328125,3426.671676512049,3388.7685574784305,3390.6062844618787,1292227
2024-01-11,3432.4609375,3466.8723341694326,3406.2273370702587,3421.8480181412583,1777909
2024-01-12,3567.763671875,3588.392115065258,3511.5292637762777,3535.787173361786,6813450
2024-01-15,3587.0595703125,3643.2939746897505,3569.784890711143,3638.6996569410876,2801505
2024-01-16,3548.008056640625,3582.649169426814,3542.724590950909,3582.649169426814,1432672
2024-01-17,3569.41748046875,3592.7105371518787,3503.213316001241,3509.139941106088,3458696
2024-01-18,3585.956787109375,3591.65369594661,3548.6508392529267,3581.7299252739276,2239110
2024-01-19,3648.3662109375,3667.334143476537,3622.4587908841813,3650.1704325122582,2941975
2024-01-23,3569.90380859375,3639.9000178846713,3555.5622006022504,3608.5336236676276,2618854
2024-01-24,3554.683349609375,3593.4055567999762,3521.188799645332,3590.028429691816,2657709
2024-01-25,3525.53759765625,3572.4484922748393,3496.299130619781,3552.9253086283948,2205154
2024-01-29,3516.9326171875,3534.5126539479743,3498.28861592839,3516.7476093479286,1646747
2024-01-30,3516.515625,3560.2343923222415,3503.978240197422,3522.899862568521,1411621
2024-01-31,3530.764892578125,3547.4659708226372,3512.722225277384,3526.3698838766622,2459358
2024-02-01,3566.1103515625,3613.0675548180716,3520.679971240293,3534.5126391385907,2363107
2024-02-02,3669.87890625,3686.626068543693,3582.62636463885,3585.4484682920206,2826510
2024-02-05,3676.355224609375,3721.4155819266507,3665.992302479133,3685.3302493321357,1691523
2024-02-06,3826.896484375,3839.757579010506,3691.807778688649,3698.284634440734,4474396
2024-02-07,3778.227294921875,3844.47636426447,3769.4835851929397,3842.625834125233,2124267
2024-02-08,3825.1376953125,3847.251435959756,3780.678671899335,3784.333423058057,2345173
2024-02-09,3824.767822265625,3872.002416231367,3793.5862134054855,3827.4044658847934,2100596
2024-02-12,3812.739501953125,3848.7322185445555,3798.7213763754216,3821.3442853665883,1013716
2024-02-13,3839.38720703125,3858.355139973566,3776.4691855640554,3817.1347639781625,1257415
2024-02-14,3793.678955078125,3807.372695778341,3746.860457716769,3800.0631929479614,1391283
2024-02-15,3796.54736328125,3836.425921611901,3777.8568303798697,3819.4937535655404,1091582
2024-02-16,3819.771728515625,3837.953549147556,3793.6795237905503,3805.8466694877607,1307556
2024-02-19,3797.10205078125,3819.771041636476,3751.949302773178,3814.913400738928,772291
2024-02-20,3729.41943359375,3791.7361242365173,3710.312800924459,3777.0245004960025,1193648
2024-02-21,3693.195556640625,3759.6759428133064,3683.110257654341,3713.0887558057943,1885939
2024-02-22,3781.650634765625,3788.9138294075187,3674.2272789613758,3674.2272789613758,2982052
2024-02-23,3749.266357421875,3821.344409805824,3743.9921662615307,3821.344409805824,2538072
2024-02-26,3702.03125,3747.3229226141257,3685.098856800348,3734.36921374583,1379284
2024-02-27,3797.657470703125,3815.792754559911,3700.13463275584,3700.13463275584,2960475
2024-02-28,3811.120849609375,3844.3838587518662,3783.408979255798,3789.5158192500803,1939225
2024-02-29,3789.052978515625,3828.839375475597,3760.786086194176,3792.6614218354753,3772719
2024-03-01,3788.3583984375,3830.5966503717427,3781.3726033285243,3800.2481426498143,2043265
